Name,Species,M.O.M. Class,Colors,Origin,Affiliation,Traits
Horned Serpent,"['Snake', 'Serpent']",XXXXX,"['black', 'blue']","['North America', 'East Asia', 'Western Europe']","['Ilvermorny School', 'Horned Serpent']",A large snake with a single horn on its head. It is native to North America and is associated with the element of water. It is highly intelligent and can communicate with humans through telepathy. It is also the symbol of one of the houses of Ilvermorny School of Witchcraft and Wizardry.
Garnet Horned Serpent,"['Snake', 'Serpent']",XXXXX,['red'],['Western Europe'],"['Ilvermorny School', 'Horned Serpent']",A horned serpent native to Western Europe. It has red and smooth scales and a single horn on its head. It is one of the most ancient and extinct species of horned serpents. It was fairly large and had a very vivid scarlet flame.
Labradorite Horned Serpent,"['Snake', 'Serpent']",XXXXX,"['blue', 'purple']",['East Asia'],"['Ilvermorny School', 'Horned Serpent']",A horned serpent native to North America. It has iridescent and crystalline scales and a large crystal in its forehead. It is one of the most common and diverse species of horned serpents. It was highly intelligent and could communicate with humans through telepathy.
Obsidian Horned Serpent,"['Snake', 'Serpent']",XXXXX,['black'],['North America'],"['Ilvermorny School', 'Horned Serpent']",A horned serpent native to the United States and Canada. It has glittering and black scales and striking blue eyes. It is one of the most vicious and rare species of horned serpents. It had a very loud roar and a blue-green fire.
Lapis Horned Serpent,"['Snake', 'Serpent']",XXXXX,['blue'],['North America'],"['Ilvermorny School', 'Horned Serpent']","A horned serpent native to the west coast of the United States. It has blue and smooth scales and a long, pointed snout. It is one of the shortest and most elusive species of horned serpents. It had a very bright and sparkling fire."
Jade Horned Serpent,"['Snake', 'Serpent']",XXXXX,"['green', 'yellow']",['North America'],"['Ilvermorny School', 'Horned Serpent']","A horned serpent native to China. It has green and smooth scales and a single horn on its head. It is one of the most revered and ancient species of horned serpents. It is very wise and benevolent, and can grant wishes to those who are worthy. It has a very soft and soothing fire."
Lethifold,"['Dementor', 'Creature']",XXXXX,['black'],['Oceania'],"['Dark Arts', 'Dementors']","A large, flat creature that resembles a dark cloak or blanket. It is native to the tropics and hunts at night, sliding under doors and smothering its prey. It can be repelled by a Patronus Charm, but otherwise leaves no trace of its victims. It is also known as the Living Shroud or the Alethiafold."
Acromantula,['Spider'],XXXXX,['black'],['Southeast Asia'],"['Forbidden Forest', 'Runic Alphabet'] ","A huge, carnivorous spider capable of human speech. It is thought to be wizard-bred for the purpose of guarding treasure hoards. It originated in Borneo but has colonies elsewhere, including one in the Forbidden Forest. It has a taste for human flesh and can produce a powerful venom."
Basilisk,"['Snake', 'Chicken', 'Toad']",XXXXX,"['scarlet', 'yellow', 'green']","['Greece', 'Worldwide']",['Dark Arts'],"A giant serpent, also known as the King of Serpents. It is a magical beast that is usually bred by Dark wizards. It can cause instant death by looking into its eyes or petrify anyone who looks through a reflection. It can also sense the presence of its enemies and has a deadly fang. It can live for hundreds of years and can be controlled by Parselmouths."
Chimaera,"['Lion', 'Goat', 'Dragon']",XXXXX,"['gold', 'white']",['Greece'],"['Hagrid, Care of Magical Beasts']","A vicious, bloodthirsty creature that has the head of a lion, the body of a goat, and the tail of a dragon. It is native to Greece and has a venomous sting that is instantly fatal. It has skin that repels virtually all known charms, so it is extremely difficult to subdue by magic. It is also known as the Living Hodge-Podge."
Dragon,['Dragon'],XXXXX,['multi'],['Worldwide'],['Dragon Sanctuaries'],"A large, flying reptile that breathes fire and has scales, claws, and wings. It is one of the most powerful and dangerous magical creatures in the world. There are many different breeds of dragons, each with its own characteristics and abilities."
Antipodean Opaleye,['Dragon'],XXXXX,"['white', 'multi']",['New Zealand'],"['Dragon Sanctuaries', 'Gringotts']"," A dragon native to New Zealand and Australia. It has pearly scales and glittering, multicolored eyes. It is one of the most beautiful dragons and also one of the most peaceful. It feeds mainly on sheep and prefers secluded valleys as its habitat. It produces a very vivid scarlet flame. They are loyal and the least dangerous or deadly dragon of all. They are loyal and the least dangerous or deadly dragon of all."
Catalonian Fireball,['Dragon'],XXXXX,"['green', 'gold']","['Catalonia', 'Spain']",['Dragon Sanctuaries'],"A dragon native to Spain. It has bright red and gold scales and long, thin horns. It is very aggressive and territorial, and will attack any other creature that enters its range. It feeds on goats, wild boar, and humans. It produces a mushroom-shaped fireball when it breathes fire."
Chinese Fireball,['Dragon'],XXXXX,"['scarlet', 'yellow']",['China'],['Dragon Sanctuaries'], A dragon native to China. It has scarlet and smooth scales and a fringe of golden spikes around its face. It is also known as the Liondragon. It is very intelligent and can understand human speech. It feeds on pigs and humans and prefers mountainous regions as its habitat. It produces an explosive fireball when it breathes fire.
Common Welsh Green,['Dragon'],XXXXX,['green'],['Wales'],['Dragon Sanctuaries'],"A dragon native to Wales. It has green and dark green scales and two club-shaped horns. It is one of the least troublesome dragons and avoids human contact. It feeds on sheep and cows and prefers open countryside as its habitat. It produces a narrow jet of fire when it breathes fire.  Only fights when provoked. It nests in higher, mountainous regions and is a more subdued breed and rarely kills more than sheep and small mammals.  Only fights when provoked. It nests in higher, mountainous regions and is a more subdued breed and rarely kills more than sheep and small mammals."
Hebridean Black,['Dragon'],XXXXX,"['purple', 'black']",['Scotland'],"['Hebridean Black Dragon', 'Quidditch']","A dragon native to the Hebrides islands of Scotland. It has black and rough scales and purple eyes. It is one of the largest and most ferocious dragons, reaching up to thirty feet in length. It has a ridge of spikes along its back and a tail tipped with an arrow-shaped spike. It feeds on deer, cattle, and humans and prefers rocky coastlines as its habitat. It produces a powerful fire when it breathes fire."
Hungarian Horntail,['Dragon'],XXXXX,"['yellow', 'black']",['Hungary'],['Dragon Sanctuaries'],"A dragon native to Hungary. It has black and bronze scales and yellow eyes. It is considered the most dangerous dragon, as it has a very aggressive temperament and a deadly weapon: a long, spiked tail that can whip at great speed. It feeds on goats, sheep, and humans and prefers mountainous regions as its habitat. It produces a very high-temperature fire when it breathes fire. It has a lizard-like appearance and the ability to fly up to 150 miles per hour. It has a lizard-like appearance and the ability to fly up to 150 miles per hour."
Norwegian Ridgeback,['Dragon'],XXXXX,['black'],['Norway'],['Dragon Sanctuaries']," A dragon native to Norway. It has black and brown scales and red eyes. It is very similar to the Hungarian Horntail, but has a distinctive row of spines along its back. It is one of the rarest dragons and also one of the most vicious. It feeds on large mammals, including aquatic ones, and humans and prefers remote mountains as its habitat. It produces a very loud roar and a blue-green fire when it breathes fire. Its fangs are venomous Its fangs are venomous"
